NUGET,SBOM_dependencies,CVE
NA,bs-custom-file-input@1.3.4,NA
NA,bs-stepper@1.7.0,NA
NA,buffer-crc32@0.2.13,NA
NA,buffer-equal@0.0.1,NA
NA,buffer-equal@1.0.0,NA
NA,buffer-from@1.1.1,NA
NA,cache-base@1.0.1,NA
NA,call-bind@1.0.2,NA
NA,camelcase@3.0.0,NA
NA,chart.js@2.9.4,NA
NA,chartjs-color-string@0.6.0,NA
NA,chartjs-color@2.4.1,NA
NA,chokidar@2.1.8,NA
NA,class-utils@0.3.6,NA
NA,classlibrary2@1.0.0,NA
NA,cldr-data-downloader@1.0.0-1,NA
NA,cldr-data@36.0.1,NA
NA,cldrjs@0.5.5,NA
NA,clean-stack@4.2.0,NA
NA,cliui@3.2.0,NA
NA,clone-buffer@1.0.0,NA
NA,clone-stats@1.0.0,NA
NA,clone@1.0.4,NA
NA,clone@2.1.2,NA
NA,cloneable-readable@1.1.3,NA
NA,code-point-at@1.1.0,NA
NA,codemirror@5.65.1,NA
NA,collection-map@1.0.0,NA
NA,collection-visit@1.0.0,NA
NA,color-convert@1.9.3,NA
NA,color-name@1.1.3,NA
NA,color-name@1.1.4,NA
NA,color-support@1.1.3,NA
NA,component-emitter@1.3.0,NA
NA,concat-map@0.0.1,NA
NA,concat-stream@1.6.2,NA
NA,convert-source-map@1.7.0,NA
NA,copy-descriptor@0.1.1,NA
NA,copy-props@2.0.5,NA
NA,core-util-is@1.0.2,NA
NA,core@2.11.6,NA
NA,crypto-js@4.1.1,NA
NA,d@1.0.1,NA
NA,dash-ast@2.0.1,NA
NA,datatables.net-autofill-bs4@2.3.9,NA
NA,datatables.net-autofill@2.3.9,NA
NA,datatables.net-bs4@1.12.1,NA
NA,datatables.net-buttons-bs4@1.6.5,NA
NA,datatables.net-buttons-bs4@2.2.3,NA
NA,datatables.net-buttons@1.6.5,NA
NA,datatables.net-buttons@2.2.3,NA
NA,datatables.net-colreorder-bs4@1.5.5,NA
NA,datatables.net-colreorder@1.5.5,NA
NA,datatables.net-fixedcolumns-bs4@4.1.0,NA
NA,datatables.net-fixedcolumns@4.1.0,NA
NA,datatables.net-fixedheader-bs4@3.2.1,NA
NA,datatables.net-fixedheader@3.2.1,NA
NA,datatables.net-keytable-bs4@2.6.4,NA
NA,datatables.net-keytable@2.6.4,NA
NA,datatables.net-responsive-bs4@2.2.9,NA
NA,datatables.net-responsive@2.2.9,NA
NA,datatables.net-rowgroup-bs4@1.1.4,NA
NA,datatables.net-rowgroup@1.1.4,NA
NA,datatables.net-rowreorder-bs4@1.2.8,NA
NA,datatables.net-rowreorder@1.2.8,NA
NA,datatables.net-scroller-bs4@2.0.5,NA
NA,datatables.net-scroller@2.0.5,NA
NA,datatables.net-searchbuilder-bs4@1.3.4,NA
NA,datatables.net-searchbuilder@1.3.4,NA
NA,datatables.net-searchpanes-bs4@1.4.0,NA
NA,datatables.net-searchpanes@1.4.0,NA
NA,datatables.net-select-bs4@1.3.4,NA
NA,datatables.net-select@1.3.4,NA
NA,datatables.net@1.12.1,NA
NA,daterangepicker@3.1.0,NA
NA,debug@2.6.9,NA
NA,decamelize@1.2.0,NA
NA,decode-uri-component@0.2.0,['CVE-2022-38900']
NA,deep-equal@1.1.1,NA
NA,deep-is@0.1.4,NA
NA,deepmerge@4.2.2,NA
NA,default-compare@1.0.0,NA
NA,default-resolution@2.0.0,NA
NA,define-properties@1.1.3,NA
NA,define-property@0.2.5,NA
NA,define-property@1.0.0,NA
NA,define-property@2.0.2,NA
NA,del@7.0.0,NA
NA,detect-file@1.0.0,NA
NA,dfa@1.2.0,NA
NA,dir-glob@3.0.1,NA
NA,dom7@4.0.4,NA
NA,dropzone@5.9.3,NA
NA,duplexer2@0.1.4,NA
NA,duplexify@3.7.1,NA
NA,each-props@1.3.2,NA
NA,ekko-lightbox@5.3.0,NA
NA,end-of-stream@1.4.4,NA
NA,error-ex@1.3.2,NA
NA,es5-ext@0.10.53,NA
NA,es6-iterator@2.0.3,NA
NA,es6-map@0.1.5,NA
NA,es6-set@0.1.5,NA
NA,es6-symbol@3.1.1,NA
NA,es6-symbol@3.1.3,NA
NA,es6-weak-map@2.0.3,NA
NA,escape-string-regexp@5.0.0,NA
NA,escodegen@1.14.3,NA
NA,escodegen@1.2.0,NA
NA,esprima@1.0.4,NA
NA,esprima@4.0.1,NA
NA,estraverse@1.5.1,NA
NA,estraverse@4.3.0,NA
NA,estree-is-function@1.0.0,NA
NA,esutils@1.0.0,NA
NA,esutils@2.0.3,NA
NA,ev-emitter@1.1.1,NA
NA,eve-raphael@0.5.0,NA
NA,event-emitter@0.3.5,NA
NA,expand-brackets@2.1.4,NA
NA,expand-tilde@2.0.2,NA
NA,ext@1.4.0,NA
NA,extend-shallow@2.0.1,NA
NA,extend-shallow@3.0.2,NA
NA,extend@3.0.2,NA
NA,extglob@2.0.4,NA
NA,fancy-log@1.3.3,NA
NA,farbstastic@1.3.0,NA
NA,fast-glob@3.2.11,NA
NA,fast-levenshtein@2.0.6,NA
NA,fast-memoize@2.5.2,NA
NA,fastclick@1.0.6,NA
NA,fastq@1.13.0,NA
NA,fd-slicer@1.1.0,NA
NA,file-uri-to-path@1.0.0,NA
NA,fill-range@4.0.0,NA
NA,fill-range@7.0.1,NA
NA,filterizr@2.2.4,NA
NA,find-up@1.1.2,NA
NA,findup-sync@2.0.0,NA
NA,findup-sync@3.0.0,NA
NA,fine-uploader@5.16.2,NA
NA,fined@1.2.0,NA
NA,flag-icon-css@4.1.7,NA
NA,flagged-respawn@1.0.1,NA
NA,flot@4.2.2,NA
NA,flush-write-stream@1.1.1,NA
NA,follow-redirects@1.15.1,NA
NA,fontawesome-free@5.15.2,NA
NA,fontawesome-free@5.15.4,NA
NA,fontkit@1.9.1,NA
NA,for-in@1.0.2,NA
NA,for-own@1.0.0,NA
NA,fragment-cache@0.2.1,NA
NA,fs-extra@10.1.0,NA
NA,fs-mkdirp-stream@1.0.0,NA
NA,fs.realpath@1.0.0,NA
NA,fs.scandir@2.1.5,NA
NA,fs.stat@2.0.5,NA
NA,fs.walk@1.2.8,NA
NA,fsevents@1.2.13,NA
NA,fullcalendar@5.10.1,NA
NA,function-bind@1.1.1,NA
NA,functions-have-names@1.2.3,NA
NA,get-assigned-identifiers@1.2.0,NA
NA,get-caller-file@1.0.3,NA
NA,get-intrinsic@1.1.2,NA
NA,get-stream@5.2.0,NA
NA,get-value@2.0.6,NA
NA,glob-parent@3.1.0,['CVE-2020-28469']
NA,glob-parent@5.1.2,NA
NA,glob-stream@6.1.0,NA
NA,glob-watcher@5.0.5,NA
NA,glob@5.0.15,NA
NA,glob@7.1.6,NA
NA,global-modules@1.0.0,NA
NA,global-prefix@1.0.2,NA
NA,globalize@1.7.0,NA
NA,globby@13.1.2,NA
NA,glogg@1.0.2,NA
NA,graceful-fs@4.2.10,NA
NA,gulp-cli@2.3.0,NA
NA,gulp-filter@7.0.0,NA
NA,gulp-rename@1.4.0,NA
NA,gulp-zip@5.1.0,NA
NA,gulp@4.0.2,NA
NA,gulplog@1.0.0,NA
NA,has-symbols@1.0.3,NA
NA,has-tostringtag@1.0.0,NA
NA,has-value@0.3.1,NA
NA,has-value@1.0.0,NA
NA,has-values@0.1.4,NA
NA,has-values@1.0.0,NA
NA,has@1.0.3,NA
NA,homedir-polyfill@1.0.3,NA
NA,hosted-git-info@2.8.9,NA
NA,icheck-bootstrap@3.0.1,NA
NA,iconv-lite@0.6.3,NA
NA,ignore@5.2.0,NA
NA,imagesloaded@4.1.4,NA
NA,immediate@3.0.6,NA
NA,indent-string@5.0.0,NA
NA,inflight@1.0.6,NA
NA,inherits@2.0.4,NA
NA,ini@1.3.8,NA
NA,inputmask@5.0.7,NA
NA,interpret@1.4.0,NA
NA,invert-kv@1.0.0,NA
NA,ion-rangeslider@2.3.1,NA
NA,ionicons@2.0.1,NA
NA,is-absolute@1.0.0,NA
NA,is-accessor-descriptor@0.1.6,NA
NA,is-accessor-descriptor@1.0.0,NA
NA,is-arguments@1.1.1,NA
NA,is-arrayish@0.2.1,NA
NA,is-binary-path@1.0.1,NA
NA,is-buffer@1.1.6,NA
NA,is-data-descriptor@0.1.4,NA
NA,is-data-descriptor@1.0.0,NA
NA,is-date-object@1.0.5,NA
NA,is-descriptor@0.1.6,NA
NA,is-descriptor@1.0.2,NA
NA,is-extendable@0.1.1,NA
NA,is-extendable@1.0.1,NA
NA,is-extglob@2.1.1,NA
NA,is-fullwidth-code-point@1.0.0,NA
NA,is-glob@3.1.0,NA
NA,is-glob@4.0.3,NA
NA,is-negated-glob@1.0.0,NA
NA,is-number@3.0.0,NA
NA,is-number@4.0.0,NA
NA,is-number@7.0.0,NA
NA,is-path-cwd@3.0.0,NA
NA,is-path-inside@4.0.0,NA
NA,is-plain-object@2.0.4,NA
NA,is-plain-object@5.0.0,NA
NA,is-regex@1.1.4,NA
NA,is-relative@1.0.0,NA
NA,is-unc-path@1.0.0,NA
NA,is-utf8@0.2.1,NA
NA,is-valid-glob@1.0.0,NA
NA,is-windows@1.0.2,NA
NA,isarray@1.0.0,NA
NA,isexe@2.0.0,NA
NA,isobject@2.1.0,NA
NA,isobject@3.0.1,NA
NA,jquery-dateformat@10-01-2014,NA
NA,jquery-knob-chif@1.2.13,NA
NA,jquery-mapael@2.2.0,NA
NA,jquery-migrate@3.4.0,NA
NA,jquery-mousewheel@3.1.13,NA
NA,jquery-tageditor@1.0.1,NA
NA,jquery-ui-dist@1.13.2,NA
NA,jquery-ui-touch-punch@0.2.3,NA
NA,jquery-ui@1.10.4,"['CVE-2021-41182', 'CVE-2021-41184', 'CVE-2021-41183', 'CVE-2016-7103']"
NA,jquery-ui@1.13.2,NA
NA,jquery-validation-plugin@1.19.5,NA
NA,jquery-validation-unobtrusive@4.0.0,NA
NA,jquery-validation@1.19.5,NA
NA,jquery@1.10.2,NA
NA,jquery@1.11.1,"['CVE-2019-11358', 'CVE-2020-11023', 'CVE-2020-11022', 'CVE-2020-23064', 'CVE-2015-9251']"
NA,jquery@2.1.1,"['CVE-2020-11023', 'CVE-2019-11358', 'CVE-2020-11022', 'CVE-2020-23064']"
NA,jquery@3.6.0,NA
NA,jquery@migrate,NA
NA,jqvmap-novulnerability@1.5.1,NA
NA,jsgrid@1.5.3,NA
NA,json-stable-stringify-without-jsonify@1.0.1,NA
NA,jsonfile@6.1.0,NA
NA,jsrender@1.0.11,NA
NA,jsrender@1.0.11:,NA
NA,jszip@3.7.1,['CVE-2022-48285']
NA,just-debounce@1.0.0,NA
NA,kind-of@3.2.2,NA
NA,kind-of@4.0.0,NA
NA,kind-of@5.1.0,NA
NA,kind-of@6.0.3,NA
NA,last-run@1.1.1,NA
NA,lazystream@1.0.0,NA
NA,lcid@1.0.0,NA
NA,lead@1.0.0,NA
NA,levn@0.3.0,NA
NA,lie@3.3.0,NA
NA,liftoff@3.1.0,NA
NA,linebreak@1.1.1,NA
NA,load-json-file@1.1.0,NA
NA,magic-string@0.25.1,NA
NA,magnific-popup@1.1.0,NA
NA,make-iterator@1.0.1,NA
NA,map-cache@0.2.2,NA
NA,map-visit@1.0.0,NA
NA,matchdep@2.0.0,NA
NA,merge-source-map@1.0.4,NA
NA,merge2@1.4.1,NA
NA,micromatch@3.1.10,NA
NA,micromatch@4.0.5,NA
NA,microsoft.netcore.platforms@1.0.1,NA
NA,microsoft.netcore.targets@1.0.1,NA
NA,microsoft.win32.primitives@4.0.1,NA
NA,minimatch@3.0.4,NA
NA,minimatch@3.0.5,NA
NA,minimist@1.2.6,NA
NA,mixin-deep@1.3.2,NA
NA,mkdirp@0.5.5,NA
NA,moment-timezone@0.5.34,NA
NA,moment@2.24.0,"['CVE-2022-24785', 'CVE-2022-31129']"
NA,moment@2.29.4,NA
NA,ms@2.0.0,NA
NA,multimatch@5.0.0,NA
NA,mute-stdout@1.0.1,NA
NA,nan@2.14.1,NA
NA,nanomatch@1.2.13,NA
NA,netfx-guard@1.2.0.0,NA
NA,netstandard.library@1.6.0,NA
NA,next-tick@1.0.0,NA
NA,nopt@3.0.6,NA
NA,normalize-package-data@2.5.0,NA
NA,normalize-path@2.1.1,NA
NA,normalize-path@3.0.0,NA
NA,now-and-later@2.0.1,NA
NA,nuget.build.tasks.pack@4.0.0-zlocal-50532,NA
NA,number-is-nan@1.0.1,NA
NA,object-copy@0.1.0,NA
NA,object-inspect@1.12.2,NA
NA,object-is@1.1.5,NA
NA,object-keys@1.1.1,NA
NA,object-visit@1.0.1,NA
NA,object.assign@4.1.0,NA
NA,object.defaults@1.1.0,NA
NA,object.map@1.0.1,NA
NA,object.pick@1.3.0,NA
NA,object.reduce@1.0.1,NA
NA,once@1.4.0,NA
NA,optionator@0.8.3,NA
NA,ordered-read-streams@1.0.1,NA
NA,os-locale@1.4.0,NA
NA,overlayscrollbars@1.13.3,NA
NA,p-map@5.5.0,NA
NA,pace-progress@1.0.7,NA
NA,pako@0.2.9,NA
NA,pako@1.0.11,NA
NA,parse-filepath@1.0.2,NA
NA,parse-json@2.2.0,NA
NA,parse-node-version@1.0.1,NA
NA,parse-passwd@1.0.0,NA
NA,pascalcase@0.1.1,NA
NA,path-dirname@1.0.2,NA
NA,path-exists@2.1.0,NA
NA,path-is-absolute@1.0.1,NA
NA,path-parse@1.0.7,NA
NA,path-root-regex@0.1.2,NA
NA,path-root@0.1.1,NA
NA,path-type@1.1.0,NA
NA,path-type@4.0.0,NA
NA,pdfkit@0.13.0,NA
NA,pdfmake@0.2.5,NA
NA,pend@1.2.0,NA
NA,picomatch@2.3.1,NA
NA,pify@2.3.0,NA
NA,pinkie-promise@2.0.1,NA
NA,pinkie@2.0.4,NA
NA,plugin-error@1.0.1,NA
NA,png-js@1.0.0,NA
NA,popper.js@1.16.1,NA
NA,posix-character-classes@0.1.1,NA
NA,prelude-ls@1.1.2,NA
NA,pretty-hrtime@1.0.3,NA
NA,process-nextick-args@2.0.1,NA
NA,pump@2.0.1,NA
NA,pump@3.0.0,NA
NA,pumpify@1.5.1,NA
NA,q@1.0.1,NA
NA,queue-microtask@1.2.3,NA
NA,quote-stream@1.0.2,NA
NA,raphael@2.3.0,NA
NA,read-pkg-up@1.0.1,NA
NA,read-pkg@1.1.0,NA
NA,readable-stream@2.3.7,NA
NA,readable-stream@3.6.0,NA
NA,readdirp@2.2.1,NA
NA,rechoir@0.6.2,NA
NA,regex-not@1.0.2,NA
NA,regexp.prototype.flags@1.4.3,NA
NA,remove-bom-buffer@3.0.0,NA
NA,remove-bom-stream@1.2.0,NA
NA,remove-trailing-separator@1.1.0,NA
NA,repeat-element@1.1.3,NA
NA,repeat-string@1.6.1,NA
NA,replace-ext@1.0.1,NA
NA,replace-homedir@1.0.0,NA
NA,require-directory@2.1.1,NA
NA,require-main-filename@1.0.1,NA
NA,resolve-dir@1.0.1,NA
NA,resolve-options@1.1.0,NA
NA,resolve-url@0.2.1,NA
NA,resolve@1.1.7,NA
NA,resolve@1.17.0,NA
NA,restructure@2.0.2,NA
NA,ret@0.1.15,NA
NA,reusify@1.0.4,NA
NA,rimraf@3.0.2,NA
NA,run-parallel@1.2.0,NA
NA,safe-buffer@5.1.2,NA
NA,safe-regex@1.1.0,NA
NA,safer-buffer@2.1.2,NA
NA,sax@1.2.4,NA
NA,scope-analyzer@2.1.2,NA
NA,select2-bootstrap4-theme@1.5.2,NA
NA,select2@4.0.13,NA
NA,select2@4.1.0-rc.0,NA
NA,semver-greatest-satisfied-range@1.1.0,NA
NA,semver@5.7.1,['CVE-2022-25883']
NA,set-blocking@2.0.0,NA
NA,set-immediate-shim@1.0.1,NA
NA,set-value@2.0.1,NA
NA,shallow-copy@0.0.1,NA
NA,shepherd.js@10.0.1,NA
NA,slash@4.0.0,NA
NA,smoothscroll-polyfill@0.4.4,NA
NA,snapdragon-node@2.1.1,NA
NA,snapdragon-util@3.0.1,NA
NA,snapdragon@0.8.2,NA
NA,source-map-resolve@0.5.3,NA
NA,source-map-url@0.4.0,NA
NA,source-map@0.1.43,NA
NA,source-map@0.5.7,NA
NA,source-map@0.6.1,NA
NA,sourcemap-codec@1.4.8,NA
NA,sparkles@1.0.1,NA
NA,sparklines@1.3.0,NA
NA,spdx-correct@3.1.1,NA
NA,spdx-exceptions@2.3.0,NA
NA,spdx-expression-parse@3.0.1,NA
NA,spdx-license-ids@3.0.5,NA
NA,split-string@3.1.0,NA
NA,ssr-window@4.0.2,NA
NA,stack-trace@0.0.10,NA
NA,static-eval@2.1.0,NA
NA,static-extend@0.1.2,NA
NA,static-module@3.0.4,NA
NA,stream-exhaust@1.0.2,NA
NA,stream-shift@1.0.1,NA
NA,streamfilter@3.0.0,NA
NA,string-width@1.0.2,NA
NA,string_decoder@1.1.1,NA
NA,strip-ansi@3.0.1,NA
NA,strip-bom@2.0.0,NA
NA,summernote@0.8.20,NA
NA,sver-compat@1.5.0,NA
NA,sweetalert2@11.4.26,NA
NA,swiper@8.3.2,NA
NA,system.appcontext@4.1.0,NA
NA,system.buffers@4.0.0,NA
NA,system.collections.concurrent@4.0.12,NA
NA,system.collections@4.0.11,NA
NA,system.console@4.0.0,NA
NA,system.diagnostics.debug@4.0.11,NA
NA,system.diagnostics.diagnosticsource@4.0.0,NA
NA,system.diagnostics.tools@4.0.1,NA
NA,system.diagnostics.tracing@4.1.0,NA
NA,system.globalization.calendars@4.0.1,NA
NA,system.globalization@4.0.11,NA
NA,system.io.compression.zipfile@4.0.1,NA
NA,system.io.compression@4.1.0,NA
NA,system.io.filesystem.primitives@4.0.1,NA
NA,system.io.filesystem@4.0.1,NA
NA,system.io@4.1.0,NA
NA,system.linq.expressions@4.1.0,NA
NA,system.linq@4.1.0,NA
NA,system.net.http@4.1.0,NA
NA,system.net.primitives@4.0.11,NA
NA,system.net.sockets@4.1.0,NA
NA,system.objectmodel@4.0.12,NA
NA,system.reflection.extensions@4.0.1,NA
NA,system.reflection.primitives@4.0.1,NA
NA,system.reflection@4.1.0,NA
NA,system.resources.resourcemanager@4.0.1,NA
NA,system.runtime.extensions@4.1.0,NA
NA,system.runtime.handles@4.0.1,NA
NA,system.runtime.interopservices.runtimeinformation@4.0.0,NA
NA,system.runtime.interopservices@4.1.0,NA
NA,system.runtime.numerics@4.0.1,NA
NA,system.runtime@4.1.0,NA
NA,system.security.cryptography.algorithms@4.2.0,NA
NA,system.security.cryptography.encoding@4.0.0,NA
NA,system.security.cryptography.primitives@4.0.0,NA
NA,system.security.cryptography.x509certificates@4.1.0,NA
NA,system.text.encoding.extensions@4.0.11,NA
NA,system.text.encoding@4.0.11,NA
NA,system.text.regularexpressions@4.1.0,NA
NA,system.threading.tasks.extensions@4.0.0,NA
NA,system.threading.tasks@4.0.11,NA
NA,system.threading.timer@4.0.1,NA
NA,system.threading@4.0.11,NA
NA,system.xml.readerwriter@4.0.11,NA
NA,system.xml.xdocument@4.0.11,NA
NA,tempusdominus-bootstrap-4@5.39.0,NA
NA,tempusdominus-core@5.19.0,NA
NA,theme-bootstrap-4@5.0.11,NA
NA,through2-filter@3.0.0,NA
NA,through2@2.0.5,NA
NA,through2@3.0.2,NA
NA,through@2.3.8,NA
NA,time-stamp@1.1.0,NA
NA,tiny-inflate@1.0.3,NA
NA,tinymce-langs@1.0.0,NA
NA,tinymce@5.10.7,NA
NA,to-absolute-glob@2.0.2,NA
NA,to-object-path@0.3.0,NA
NA,to-regex-range@2.1.1,NA
NA,to-regex-range@5.0.1,NA
NA,to-regex@3.0.2,NA
NA,to-through@2.0.0,NA
NA,toastr@2.1.4,NA
NA,type-check@0.3.2,NA
NA,type@1.2.0,NA
NA,type@2.0.0,NA
NA,typeahead.js@0.11.1,NA
NA,typedarray@0.0.6,NA
NA,unc-path-regex@0.1.2,NA
NA,undertaker-registry@1.0.1,NA
NA,undertaker@1.2.1,NA
NA,unicode-properties@1.4.1,NA
NA,unicode-trie@2.0.0,NA
NA,union-value@1.0.1,NA
NA,unique-stream@2.3.1,NA
NA,universalify@2.0.0,NA
NA,unset-value@1.0.0,NA
NA,upath@1.2.0,NA
NA,uplot@1.6.18,NA
NA,urix@0.1.0,NA
NA,use@3.1.1,NA
NA,util-deprecate@1.0.2,NA
NA,v8flags@3.2.0,NA
NA,validate-npm-package-license@3.0.4,NA
NA,value-or-function@3.0.0,NA
NA,vinyl-fs@3.0.3,NA
NA,vinyl-sourcemap@1.1.0,NA
NA,vinyl@2.2.0,NA
NA,which-module@1.0.0,NA
NA,which@1.3.1,NA
NA,word-wrap@1.2.3,['CVE-2023-26115']
NA,wrap-ansi@2.1.0,NA
NA,wrappy@1.0.2,NA
NA,xmldoc@1.2.0,NA
NA,xtend@4.0.2,NA
NA,y18n@3.2.2,NA
NA,yargs-parser@5.0.0-security.0,NA
NA,yargs@7.1.1,NA
NA,yauzl@2.10.0,NA
NA,yazl@2.5.1,NA
